"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 14 02:06:31 UTC 2026","Thu May 14 02:06:31 UTC 2026","0","tests","test_example","TestExample","","","test_double[1-2]",""
"passed","Thu May 14 02:06:31 UTC 2026","Thu May 14 02:06:31 UTC 2026","1","tests","test_api","TestAPI","","","test_api_post_request",""
"passed","Thu May 14 02:06:31 UTC 2026","Thu May 14 02:06:31 UTC 2026","0","tests","test_example","TestExample","","","test_list_contains",""
"skipped","Thu May 14 02:06:31 UTC 2026","Thu May 14 02:06:31 UTC 2026","0","tests","test_example","TestExample","","","test_skip_example",""
"passed","Thu May 14 02:06:31 UTC 2026","Thu May 14 02:06:31 UTC 2026","0","tests","test_example","TestExample","","","test_double[2-4]",""
"broken","Wed May 13 09:42:13 UTC 2026","Wed May 13 09:42:13 UTC 2026","0","tests","test_example","TestExample","","","test_list_contains",""
"passed","Thu May 14 02:06:31 UTC 2026","Thu May 14 02:06:31 UTC 2026","0","tests","test_example","TestExample","","","test_double[3-6]",""
"passed","Thu May 14 02:06:31 UTC 2026","Thu May 14 02:06:31 UTC 2026","0","tests","test_example","TestExample","","","test_string_length",""
"skipped","Thu May 14 02:06:31 UTC 2026","Thu May 14 02:06:31 UTC 2026","0","tests","test_example","TestExample","","","test_expected_failure",""
"passed","Thu May 14 02:06:31 UTC 2026","Thu May 14 02:06:31 UTC 2026","1","tests","test_api","TestAPI","","","test_api_get_request",""
